noe_barkhord_id,noe_barkhord,naqayes_moaser_rah_id,vaze_roshanaei,sharayet_sathe_rah_id,sharayet_sathe_rah,noe_shane_id,noe_shane,mavane_did_id,vaze_hava_id,vaze_hava,khatkeshi_id,khatkeshi,noe_tasadof,noe_tasadof_id,vaze_roshanaei_id
1,وسیله نقلیه با یک وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,غروب,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,2
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,3,دوبل,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
2,وسیله نقلیه با عابر,4,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,1
4,وسیله نقلیه با شیء ثابت,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,2,ممتد,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
2,وسیله نقلیه با عابر,4,روز,4,سایر,0,شانه ندارد,4,0,صاف,3,دوبل,جرحی,0,0
12,پرتاب سرنشین,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,4,روز,4,سایر,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
11,وسیله نقلیه با دوچرخه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,1,شانه خاکی,6,0,صاف,2,ممتد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,9,0,صاف,2,ممتد,خسارتی,1,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,9,0,صاف,1,منقطع,جرحی,0,1
2,وسیله نقلیه با عابر,4,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
5,موتورسیکلت - واژگونی,6,غروب,0,خشک و معمولی,0,شانه ندارد,6,1,ابری,0,ندارد,جرحی,0,2
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
12,پرتاب سرنشین,9,روز,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,1,شانه خاکی,6,0,صاف,2,ممتد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,خسارتی,1,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,1,مرطوب و خیس,0,شانه ندارد,6,3,برفی,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,4,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,0,ندارد,جرحی,0,1
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
3,موتورسیکلت با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,خسارتی,1,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,3,دوبل,جرحی,0,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
2,وسیله نقلیه با عابر,9,طلوع,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,5
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
4,وسیله نقلیه با شیء ثابت,4,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,1,شانه خاکی,6,0,صاف,1,منقطع,خسارتی,1,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,1,منقطع,جرحی,0,0
6,وسیله نقلیه - واژگونی,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,3,دوبل,خسارتی,1,1
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,1,مرطوب و خیس,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
4,وسیله نقلیه با شیء ثابت,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,خسارتی,1,0
1,وسیله نقلیه با یک وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,3,دوبل,جرحی,0,0
3,موتورسیکلت با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,0,ندارد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,1,مرطوب و خیس,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,4,نامشخص,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,0,ندارد,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,0,ندارد,خسارتی,1,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
2,وسیله نقلیه با عابر,9,غروب,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,2
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,1,مرطوب و خیس,0,شانه ندارد,6,2,بارانی,1,منقطع,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,1,شانه خاکی,6,0,صاف,3,دوبل,خسارتی,1,1
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,3,دوبل,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
2,وسیله نقلیه با عابر,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,1,منقطع,جرحی,0,0
3,موتورسیکلت با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
3,موتورسیکلت با عابر,10,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,4,نامشخص,جرحی,0,1
3,موتورسیکلت با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,9,0,صاف,1,منقطع,جرحی,0,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,2,ممتد,جرحی,0,1
1,وسیله نقلیه با یک وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,0,ندارد,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,0
0,موتورسیکلت با وسیله نقلیه,4,روز,0,خشک و معمولی,0,شانه ندارد,4,0,صاف,1,منقطع,جرحی,0,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,خسارتی,1,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,خسارتی,1,0
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
2,وسیله نقلیه با عابر,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,1,منقطع,جرحی,0,1
3,موتورسیکلت با عابر,9,روز,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,0
2,وسیله نقلیه با عابر,9,روز,0,خشک و معمولی,2,شانه آسفالته,6,0,صاف,1,منقطع,جرحی,0,0
9,وسیله نقلیه - خروج از جاده,9,شب با روشنایی کافی,0,خشک و معمولی,0,شانه ندارد,6,0,صاف,0,ندارد,جرحی,0,1
